id,af2_source,af2_completed
IsPETaseWT_pool_10273,preexisting_run,True
IsPETaseWT_pool_10458,preexisting_run,True
IsPETaseWT_pool_12162,preexisting_run,True
IsPETaseWT_pool_1229,preexisting_run,True
IsPETaseWT_pool_13154,preexisting_run,True
IsPETaseWT_pool_13188,preexisting_run,True
IsPETaseWT_pool_14221,preexisting_run,True
IsPETaseWT_pool_15026,preexisting_run,True
IsPETaseWT_pool_15058,preexisting_run,True
IsPETaseWT_pool_15146,preexisting_run,True
IsPETaseWT_pool_16552,preexisting_run,True
IsPETaseWT_pool_17254,preexisting_run,True
IsPETaseWT_pool_18806,preexisting_run,True
IsPETaseWT_pool_1915,preexisting_run,True
IsPETaseWT_pool_20044,preexisting_run,True
IsPETaseWT_pool_20130,preexisting_run,True
IsPETaseWT_pool_20960,preexisting_run,True
IsPETaseWT_pool_21933,ran_now_2026-02-12,True
IsPETaseWT_pool_21956,ran_now_2026-02-12,True
IsPETaseWT_pool_23253,ran_now_2026-02-12,True
IsPETaseWT_pool_23867,ran_now_2026-02-12,True
IsPETaseWT_pool_24720,ran_now_2026-02-12,True
IsPETaseWT_pool_24902,ran_now_2026-02-12,True
IsPETaseWT_pool_24970,ran_now_2026-02-12,True
IsPETaseWT_pool_24987,ran_now_2026-02-12,True
IsPETaseWT_pool_25302,ran_now_2026-02-12,True
IsPETaseWT_pool_25619,ran_now_2026-02-12,True
IsPETaseWT_pool_25936,ran_now_2026-02-12,True
IsPETaseWT_pool_26112,ran_now_2026-02-12,True
IsPETaseWT_pool_26965,ran_now_2026-02-12,True
IsPETaseWT_pool_27835,ran_now_2026-02-12,True
IsPETaseWT_pool_483,ran_now_2026-02-12,True
IsPETaseWT_pool_5089,ran_now_2026-02-12,True
IsPETaseWT_pool_531,ran_now_2026-02-12,True
IsPETaseWT_pool_6953,ran_now_2026-02-12,True
IsPETaseWT_pool_697,ran_now_2026-02-12,True
IsPETaseWT_pool_9041,ran_now_2026-02-12,True
IsPETaseWT_pool_9663,ran_now_2026-02-12,True
