metric,direction,n_shortlist,wt_value,shortlist_mean,shortlist_min,shortlist_max,wt_percentile_numeric,wt_percentile_desirability,zscore_vs_shortlist
pred_residual,higher_better,38,1.6356493,2.7117328447368423,2.5668764,2.9538462,0.0,0.0,-9.025649684791784
pred_abs,higher_better,38,0.23564932346344,1.3117328455573638,1.1668764114379884,1.5538462162017823,0.0,0.0,-9.025649608691078
surrogate_dtm_wt_centered_cal,higher_better,38,1.550781362880116e-06,12.97843084837261,9.364412307739258,18.739887237548828,0.0,0.0,-6.026441844283638
ddg_reu,lower_better,38,0.0,-36.00290350877192,-124.2063333333333,-0.5793333333333521,100.0,0.0,0.783083977227644
af2_ranked0_plddt_mean,higher_better,38,94.31789655172415,94.19707622504536,94.04131034482758,94.35610344827585,89.47368421052632,89.47368421052632,1.3580151966461897
af2_ranked0_plddt_key_mean,higher_better,38,98.335,98.18271052631577,98.073,98.346,94.73684210526315,94.73684210526315,2.205336733330526
af2_triad_ser160_his237,lower_better,38,2.837227519956763,2.819215117140631,2.79142221815332,2.8516724917142926,89.47368421052632,10.526315789473683,1.2276115118410176
af2_triad_asp206_his237,lower_better,38,2.4966980193848034,2.502197292645889,2.468969218115123,2.540195464919974,36.84210526315789,63.1578947368421,-0.3032229916513293
af2_disulfide_203_239_dist,lower_better,38,1.8815464384383402,1.862774166703557,1.8314024680555616,1.880155844604377,100.0,0.0,1.6370456695899467
af2_disulfide_273_289_dist,lower_better,38,2.0111501684359627,2.1836345120422735,1.9941850465791784,2.320307091744539,5.263157894736842,94.73684210526315,-1.69428734516581
