id,delta_tm_wt_centered_c,tier
IsPETaseWT_pool_1280,16.468926,ge_13
IsPETaseWT_pool_429,15.783257,ge_13
IsPETaseWT_pool_88,15.587213,ge_13
IsPETaseWT_pool_703,15.474472,ge_13
IsPETaseWT_pool_514,15.363370,ge_13
IsPETaseWT_pool_3720,15.304810,ge_13
IsPETaseWT_pool_3568,15.234992,ge_13
IsPETaseWT_pool_3505,15.168254,ge_13
IsPETaseWT_pool_4808,14.951944,ge_13
IsPETaseWT_pool_4781,14.936818,ge_13
IsPETaseWT_pool_4338,14.932603,ge_13
IsPETaseWT_pool_1296,14.868444,ge_13
IsPETaseWT_pool_3882,14.641939,ge_13
IsPETaseWT_pool_3849,14.578574,ge_13
IsPETaseWT_pool_4951,14.440437,ge_13
IsPETaseWT_pool_3497,14.387093,ge_13
IsPETaseWT_pool_4963,14.341371,ge_13
IsPETaseWT_pool_3100,14.302552,ge_13
IsPETaseWT_pool_4680,14.266811,ge_13
IsPETaseWT_pool_1559,14.259144,ge_13
IsPETaseWT_pool_1620,14.259120,ge_13
IsPETaseWT_pool_2682,14.250144,ge_13
IsPETaseWT_pool_4835,14.214104,ge_13
IsPETaseWT_pool_3220,14.133803,ge_13
IsPETaseWT_pool_4164,13.948658,ge_13
IsPETaseWT_pool_3587,13.931916,ge_13
IsPETaseWT_pool_2132,13.877907,ge_13
IsPETaseWT_pool_4780,13.873753,ge_13
IsPETaseWT_pool_1780,13.854026,ge_13
IsPETaseWT_pool_2966,13.844795,ge_13
IsPETaseWT_pool_4218,13.839902,ge_13
IsPETaseWT_pool_4864,13.802037,ge_13
IsPETaseWT_pool_2622,13.800807,ge_13
IsPETaseWT_pool_1880,13.774130,ge_13
IsPETaseWT_pool_2049,13.728199,ge_13
IsPETaseWT_pool_4079,13.721489,ge_13
IsPETaseWT_pool_795,13.709581,ge_13
IsPETaseWT_pool_3668,13.706684,ge_13
IsPETaseWT_pool_2917,13.676632,ge_13
IsPETaseWT_pool_3609,13.670249,ge_13
IsPETaseWT_pool_4981,13.619342,ge_13
IsPETaseWT_pool_4636,13.601926,ge_13
IsPETaseWT_pool_3030,13.536178,ge_13
IsPETaseWT_pool_111,13.510060,ge_13
IsPETaseWT_pool_2511,13.500265,ge_13
IsPETaseWT_pool_984,13.496685,ge_13
IsPETaseWT_pool_4506,13.475573,ge_13
IsPETaseWT_pool_3230,13.445225,ge_13
IsPETaseWT_pool_120,13.440220,ge_13
IsPETaseWT_pool_4956,13.416103,ge_13
IsPETaseWT_pool_2453,13.401074,ge_13
IsPETaseWT_pool_3570,13.371932,ge_13
IsPETaseWT_pool_1062,13.334639,ge_13
IsPETaseWT_pool_3548,13.314746,ge_13
IsPETaseWT_pool_553,13.278703,ge_13
IsPETaseWT_pool_4526,13.240808,ge_13
IsPETaseWT_pool_1286,13.221991,ge_13
IsPETaseWT_pool_4127,13.201038,ge_13
IsPETaseWT_pool_115,13.196945,ge_13
IsPETaseWT_pool_3240,13.195910,ge_13
IsPETaseWT_pool_1754,13.177925,ge_13
IsPETaseWT_pool_279,13.146676,ge_13
IsPETaseWT_pool_1191,13.142165,ge_13
IsPETaseWT_pool_361,13.127344,ge_13
IsPETaseWT_pool_2316,13.107622,ge_13
IsPETaseWT_pool_4226,13.100726,ge_13
IsPETaseWT_pool_315,13.091932,ge_13
IsPETaseWT_pool_2166,13.070945,ge_13
IsPETaseWT_pool_3693,13.068743,ge_13
IsPETaseWT_pool_1825,13.065449,ge_13
IsPETaseWT_pool_2992,13.059855,ge_13
IsPETaseWT_pool_1155,13.058696,ge_13
IsPETaseWT_pool_2071,13.052332,ge_13
IsPETaseWT_pool_1300,13.046234,ge_13
IsPETaseWT_pool_1864,13.044508,ge_13
IsPETaseWT_pool_4081,12.974764,ge_10
IsPETaseWT_pool_1481,12.966454,ge_10
IsPETaseWT_pool_2839,12.965769,ge_10
IsPETaseWT_pool_3293,12.929775,ge_10
IsPETaseWT_pool_3639,12.893344,ge_10
IsPETaseWT_pool_3626,12.887316,ge_10
IsPETaseWT_pool_862,12.866552,ge_10
IsPETaseWT_pool_2088,12.858892,ge_10
IsPETaseWT_pool_1727,12.857469,ge_10
IsPETaseWT_pool_3327,12.856380,ge_10
IsPETaseWT_pool_1703,12.848613,ge_10
IsPETaseWT_pool_1454,12.843699,ge_10
IsPETaseWT_pool_2548,12.832196,ge_10
IsPETaseWT_pool_215,12.830338,ge_10
IsPETaseWT_pool_4805,12.820322,ge_10
IsPETaseWT_pool_866,12.811566,ge_10
IsPETaseWT_pool_4829,12.810049,ge_10
IsPETaseWT_pool_43,12.801358,ge_10
IsPETaseWT_pool_3547,12.771932,ge_10
IsPETaseWT_pool_2851,12.764386,ge_10
IsPETaseWT_pool_3926,12.755815,ge_10
IsPETaseWT_pool_3470,12.745892,ge_10
IsPETaseWT_pool_4477,12.742725,ge_10
IsPETaseWT_pool_1770,12.742048,ge_10
IsPETaseWT_pool_2987,12.737779,ge_10
IsPETaseWT_pool_789,12.704857,ge_10
IsPETaseWT_pool_4316,12.700818,ge_10
IsPETaseWT_pool_4320,12.700231,ge_10
IsPETaseWT_pool_2629,12.687834,ge_10
IsPETaseWT_pool_72,12.677926,ge_10
IsPETaseWT_pool_3283,12.675090,ge_10
IsPETaseWT_pool_2531,12.669801,ge_10
IsPETaseWT_pool_3512,12.664618,ge_10
IsPETaseWT_pool_2458,12.624894,ge_10
IsPETaseWT_pool_2342,12.623423,ge_10
IsPETaseWT_pool_3551,12.620907,ge_10
IsPETaseWT_pool_2717,12.617685,ge_10
IsPETaseWT_pool_4774,12.615518,ge_10
IsPETaseWT_pool_3746,12.613719,ge_10
IsPETaseWT_pool_690,12.612255,ge_10
IsPETaseWT_pool_2279,12.611692,ge_10
IsPETaseWT_pool_2768,12.609933,ge_10
IsPETaseWT_pool_4960,12.586169,ge_10
IsPETaseWT_pool_3190,12.584003,ge_10
IsPETaseWT_pool_1279,12.581350,ge_10
IsPETaseWT_pool_3156,12.578544,ge_10
IsPETaseWT_pool_2042,12.549139,ge_10
IsPETaseWT_pool_2611,12.544020,ge_10
IsPETaseWT_pool_1521,12.543648,ge_10
IsPETaseWT_pool_3533,12.539498,ge_10
IsPETaseWT_pool_1873,12.532996,ge_10
IsPETaseWT_pool_209,12.529739,ge_10
IsPETaseWT_pool_4785,12.520038,ge_10
IsPETaseWT_pool_3390,12.498232,ge_10
IsPETaseWT_pool_2829,12.491743,ge_10
IsPETaseWT_pool_4710,12.475401,ge_10
IsPETaseWT_pool_4592,12.460483,ge_10
IsPETaseWT_pool_4035,12.456302,ge_10
IsPETaseWT_pool_2986,12.449267,ge_10
IsPETaseWT_pool_2432,12.439904,ge_10
IsPETaseWT_pool_4587,12.419989,ge_10
IsPETaseWT_pool_2893,12.415977,ge_10
IsPETaseWT_pool_3104,12.411440,ge_10
IsPETaseWT_pool_2308,12.397522,ge_10
IsPETaseWT_pool_1830,12.390173,ge_10
IsPETaseWT_pool_3315,12.381824,ge_10
IsPETaseWT_pool_1098,12.379268,ge_10
IsPETaseWT_pool_678,12.371793,ge_10
IsPETaseWT_pool_1883,12.371046,ge_10
IsPETaseWT_pool_1961,12.370180,ge_10
IsPETaseWT_pool_509,12.363868,ge_10
IsPETaseWT_pool_3937,12.359120,ge_10
IsPETaseWT_pool_3160,12.356013,ge_10
IsPETaseWT_pool_4311,12.353636,ge_10
IsPETaseWT_pool_960,12.344462,ge_10
IsPETaseWT_pool_4978,12.335546,ge_10
IsPETaseWT_pool_1076,12.318282,ge_10
IsPETaseWT_pool_757,12.300971,ge_10
IsPETaseWT_pool_2291,12.300810,ge_10
IsPETaseWT_pool_1954,12.292443,ge_10
IsPETaseWT_pool_3221,12.288719,ge_10
IsPETaseWT_pool_3942,12.278384,ge_10
IsPETaseWT_pool_3610,12.277817,ge_10
IsPETaseWT_pool_1289,12.277240,ge_10
IsPETaseWT_pool_4713,12.277189,ge_10
IsPETaseWT_pool_2229,12.271129,ge_10
IsPETaseWT_pool_2047,12.266685,ge_10
IsPETaseWT_pool_4205,12.248664,ge_10
IsPETaseWT_pool_1170,12.224332,ge_10
IsPETaseWT_pool_1898,12.204468,ge_10
IsPETaseWT_pool_4643,12.204044,ge_10
IsPETaseWT_pool_4972,12.193757,ge_10
IsPETaseWT_pool_4974,12.148548,ge_10
IsPETaseWT_pool_4123,12.142216,ge_10
IsPETaseWT_pool_1261,12.137206,ge_10
IsPETaseWT_pool_617,12.136790,ge_10
IsPETaseWT_pool_4463,12.136615,ge_10
