id,pred_residual
IsPETaseWT_pool_3208,0.4411861
IsPETaseWT_pool_2553,0.26950133
IsPETaseWT_pool_1028,0.20350522
IsPETaseWT_pool_1960,0.16247073
IsPETaseWT_pool_3851,0.10597704
IsPETaseWT_pool_2393,0.07929284
IsPETaseWT_pool_3326,0.073843226
IsPETaseWT_pool_2330,0.071416155
IsPETaseWT_pool_1441,0.071163476
IsPETaseWT_pool_2862,0.045181636
IsPETaseWT_pool_3482,0.021470217
IsPETaseWT_pool_2876,0.0013792167
IsPETaseWT_pool_2067,-0.004499768
IsPETaseWT_pool_4424,-0.022253139
IsPETaseWT_pool_816,-0.04405592
IsPETaseWT_pool_1,-0.051654134
IsPETaseWT_pool_3493,-0.18533117
IsPETaseWT_pool_4390,-0.20175377
IsPETaseWT_pool_2499,-0.20961455
IsPETaseWT_pool_4318,-0.21276712
