id,prediction,length,mut_count,protected_mutations,disulfide_seq_ok,glyco_motif_new,duplicate_sequence,in_training_seq,plddt_mean,plddt_min,plddt_key_mean,plddt_key_min,triad_ser160_his237,triad_asp206_his237,triad_ser160_asp206,triad_struct_ok,disulfide_203_239_dist,disulfide_273_289_dist,disulfide_struct_ok,rmsd_ca,rmsd_key_ca,flags
IsPETaseWT_pool_6872,0.02208349,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_7191,-0.16346169,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_8267,-0.16225135,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_13330,-0.16346169,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_14083,-0.16756576,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_15412,-0.16858637,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_16177,-0.13950428,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_17796,0.06921609,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_19676,-0.16756576,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_20148,0.09829811,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_20213,-0.09931036,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_22096,-0.16346169,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_23099,-0.16225135,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_24403,-0.172001,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_24550,-0.10535052,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_24813,0.02208349,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_24844,-0.13950428,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_26823,0.04509524,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_27106,-0.1721645,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_27368,-0.10891956,290,5,,True,False,False,False,,,,,,,,,,,,,,
