id,pred_residual,context_key,publication,baseline,pred_abs,btarget_dsf_ph8_median,pred_dtm_dsf_est
IsPETaseWT_pool_20148,0.09829811,,,-0.5,-0.4017018899321556,0.0,0.09829811
IsPETaseWT_pool_17796,0.06921609,,,-0.5,-0.4307839125394821,0.0,0.06921609
IsPETaseWT_pool_26823,0.04509524,,,-0.5,-0.4549047611653805,0.0,0.04509524
IsPETaseWT_pool_24813,0.02208349,,,-0.5,-0.4779165107756853,0.0,0.02208349
IsPETaseWT_pool_6872,0.02208349,,,-0.5,-0.4779165107756853,0.0,0.02208349
IsPETaseWT_pool_20213,-0.09931036,,,-0.5,-0.5993103608489037,0.0,-0.09931036
IsPETaseWT_pool_24550,-0.10535052,,,-0.5,-0.6053505167365074,0.0,-0.10535052
IsPETaseWT_pool_27368,-0.10891956,,,-0.5,-0.6089195609092712,0.0,-0.10891956
IsPETaseWT_pool_16177,-0.13950428,,,-0.5,-0.6395042836666107,0.0,-0.13950428
IsPETaseWT_pool_24844,-0.13950428,,,-0.5,-0.6395042836666107,0.0,-0.13950428
IsPETaseWT_pool_8267,-0.16225135,,,-0.5,-0.662251353263855,0.0,-0.16225135
IsPETaseWT_pool_23099,-0.16225135,,,-0.5,-0.662251353263855,0.0,-0.16225135
IsPETaseWT_pool_7191,-0.16346169,,,-0.5,-0.6634616851806641,0.0,-0.16346169
IsPETaseWT_pool_13330,-0.16346169,,,-0.5,-0.6634616851806641,0.0,-0.16346169
IsPETaseWT_pool_22096,-0.16346169,,,-0.5,-0.6634616851806641,0.0,-0.16346169
IsPETaseWT_pool_14083,-0.16756576,,,-0.5,-0.6675657629966736,0.0,-0.16756576
IsPETaseWT_pool_19676,-0.16756576,,,-0.5,-0.6675657629966736,0.0,-0.16756576
IsPETaseWT_pool_15412,-0.16858637,,,-0.5,-0.6685863733291626,0.0,-0.16858637
IsPETaseWT_pool_24403,-0.172001,,,-0.5,-0.6720010042190552,0.0,-0.172001
IsPETaseWT_pool_27106,-0.1721645,,,-0.5,-0.6721644997596741,0.0,-0.1721645
