rank,id,pred_residual_c,pred_abs_c,baseline_c
1,IsPETaseWT_pool_16774,2.966628,1.566628,-1.400000
2,IsPETaseWT_pool_14676,2.962626,1.562626,-1.400000
3,IsPETaseWT_pool_19226,2.954607,1.554607,-1.400000
4,IsPETaseWT_pool_6953,2.953846,1.553846,-1.400000
5,IsPETaseWT_pool_14827,2.951814,1.551814,-1.400000
6,IsPETaseWT_pool_26127,2.951617,1.551617,-1.400000
7,IsPETaseWT_pool_9330,2.933764,1.533764,-1.400000
8,IsPETaseWT_pool_16025,2.933163,1.533163,-1.400000
9,IsPETaseWT_pool_21403,2.922352,1.522352,-1.400000
10,IsPETaseWT_pool_7659,2.919758,1.519758,-1.400000
11,IsPETaseWT_pool_8092,2.919758,1.519758,-1.400000
12,IsPETaseWT_pool_16149,2.917554,1.517554,-1.400000
13,IsPETaseWT_pool_19389,2.914819,1.514819,-1.400000
14,IsPETaseWT_pool_5607,2.912584,1.512584,-1.400000
15,IsPETaseWT_pool_5486,2.912584,1.512584,-1.400000
16,IsPETaseWT_pool_542,2.912584,1.512584,-1.400000
17,IsPETaseWT_pool_26745,2.912336,1.512336,-1.400000
18,IsPETaseWT_pool_4923,2.910856,1.510856,-1.400000
19,IsPETaseWT_pool_7329,2.906406,1.506406,-1.400000
20,IsPETaseWT_pool_18806,2.906113,1.506113,-1.400000
21,IsPETaseWT_pool_10135,2.903533,1.503533,-1.400000
22,IsPETaseWT_pool_27485,2.901806,1.501806,-1.400000
23,IsPETaseWT_pool_27688,2.901708,1.501708,-1.400000
24,IsPETaseWT_pool_14164,2.901708,1.501708,-1.400000
25,IsPETaseWT_pool_11920,2.901708,1.501708,-1.400000
26,IsPETaseWT_pool_20757,2.901708,1.501708,-1.400000
27,IsPETaseWT_pool_24902,2.901708,1.501708,-1.400000
28,IsPETaseWT_pool_9623,2.901708,1.501708,-1.400000
29,IsPETaseWT_pool_24469,2.900453,1.500453,-1.400000
30,IsPETaseWT_pool_26749,2.899946,1.499946,-1.400000
