id,pred_residual,ctx_rank,ddg_reu,ros_rank
IsPETaseWT_pool_20148,0.09829811,1.0,-3.059999999999945,11.0
IsPETaseWT_pool_17796,0.06921609,2.0,15.258000000000038,18.0
IsPETaseWT_pool_26823,0.04509524,3.0,-4.045999999999935,10.0
IsPETaseWT_pool_24813,0.02208349,4.5,-25.48833333333323,7.0
IsPETaseWT_pool_6872,0.02208349,4.5,13.359666666666726,16.0
IsPETaseWT_pool_20213,-0.09931036,6.0,3.999000000000137,14.0
IsPETaseWT_pool_24550,-0.10535052,7.0,-147.346,1.0
IsPETaseWT_pool_27368,-0.10891956,8.0,13.587999999999964,17.0
IsPETaseWT_pool_16177,-0.13950428,9.5,-105.39666666666652,4.0
IsPETaseWT_pool_24844,-0.13950428,9.5,-95.55633333333344,6.0
IsPETaseWT_pool_8267,-0.16225135,11.5,477.304,20.0
IsPETaseWT_pool_23099,-0.16225135,11.5,454.6163333333333,19.0
IsPETaseWT_pool_7191,-0.16346169,14.0,-107.65533333333347,3.0
IsPETaseWT_pool_13330,-0.16346169,14.0,-116.97699999999986,2.0
IsPETaseWT_pool_22096,-0.16346169,14.0,-101.12866666666685,5.0
IsPETaseWT_pool_14083,-0.16756576,16.5,-4.618666666666513,9.0
IsPETaseWT_pool_19676,-0.16756576,16.5,-19.2793333333334,8.0
IsPETaseWT_pool_15412,-0.16858637,18.0,3.155999999999949,13.0
IsPETaseWT_pool_24403,-0.172001,19.0,5.1073333333332585,15.0
IsPETaseWT_pool_27106,-0.1721645,20.0,2.1119999999998527,12.0
