id,prediction,length,mut_count,protected_mutations,disulfide_seq_ok,glyco_motif_new,duplicate_sequence,in_training_seq,plddt_mean,plddt_min,plddt_key_mean,plddt_key_min,triad_ser160_his237,triad_asp206_his237,triad_ser160_asp206,triad_struct_ok,disulfide_203_239_dist,disulfide_273_289_dist,disulfide_struct_ok,rmsd_ca,rmsd_key_ca,flags
IsPETaseWT_pool_215,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_294,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_354,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_421,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_435,,290,3,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_441,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_463,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_483,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_531,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_542,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_589,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_591,,290,3,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_596,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_697,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_865,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1020,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1034,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1229,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1299,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1354,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1476,,290,3,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1529,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1556,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1563,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1578,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1744,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1838,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1891,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1904,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1915,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_1973,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2027,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2137,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2178,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2182,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2210,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2321,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2366,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2378,,290,3,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2718,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2857,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_2990,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3015,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3288,,290,3,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3372,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3411,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3452,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3454,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3480,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3610,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3671,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3684,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3703,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3871,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_3887,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4008,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4030,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4041,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4240,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4350,,290,3,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4377,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4388,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4442,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4567,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4584,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4628,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4640,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4662,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_4923,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5089,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5218,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5405,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5460,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5486,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5500,,290,4,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5527,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5551,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5607,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5669,,290,5,,True,False,False,False,,,,,,,,,,,,,,
IsPETaseWT_pool_5687,,290,5,,True,False,False,False,,,,,,,,,,,,,,
