id,prediction,mutation_count,stability_bin
IsPETaseWT_pool_1280,20.0149,5,6
IsPETaseWT_pool_429,19.4781,5,6
IsPETaseWT_pool_88,19.3246,5,6
IsPETaseWT_pool_703,19.2364,5,6
IsPETaseWT_pool_514,19.1494,5,6
IsPETaseWT_pool_3720,19.1035,4,6
IsPETaseWT_pool_3568,19.0489,5,6
IsPETaseWT_pool_3505,18.9966,5,6
IsPETaseWT_pool_4808,18.8273,5,6
IsPETaseWT_pool_4781,18.8155,5,6
IsPETaseWT_pool_4338,18.8122,4,6
IsPETaseWT_pool_1296,18.7619,3,6
IsPETaseWT_pool_3882,18.5846,4,6
IsPETaseWT_pool_3849,18.5350,4,6
IsPETaseWT_pool_4951,18.4268,5,6
IsPETaseWT_pool_3497,18.3851,5,6
IsPETaseWT_pool_4963,18.3493,2,6
IsPETaseWT_pool_3100,18.3189,3,6
IsPETaseWT_pool_4680,18.2909,5,6
IsPETaseWT_pool_1559,18.2849,5,6
